"Name","RefCount"
"string","int"
"sc/effects.sc",2790
"sc/effects_brawler.sc",38805
"sc/effects_brawler2.sc",562
"sc/effects_brawler_8bit.sc",102
"sc/effects_brawler_alli.sc",94
"sc/effects_brawler_amber.sc",125
"sc/effects_brawler_angelo.sc",133
"sc/effects_brawler_barley.sc",120
"sc/effects_brawler_bea.sc",25
"sc/effects_brawler_belle.sc",82
"sc/effects_brawler_berry.sc",82
"sc/effects_brawler_bibi.sc",67
"sc/effects_brawler_bo.sc",87
"sc/effects_brawler_bonnie.sc",113
"sc/effects_brawler_brock.sc",90
"sc/effects_brawler_bull.sc",173
"sc/effects_brawler_buster.sc",17
"sc/effects_brawler_buzz.sc",83
"sc/effects_brawler_byron.sc",61
"sc/effects_brawler_carl.sc",65
"sc/effects_brawler_charlie.sc",107
"sc/effects_brawler_chester.sc",122
"sc/effects_brawler_chuck.sc",12
"sc/effects_brawler_clancy.sc",64
"sc/effects_brawler_colette.sc",27
"sc/effects_brawler_colt.sc",60
"sc/effects_brawler_cordelius.sc",35
"sc/effects_brawler_crow.sc",281
"sc/effects_brawler_darryl.sc",33
"sc/effects_brawler_doug.sc",107
"sc/effects_brawler_draco.sc",39
"sc/effects_brawler_dynamike.sc",142
"sc/effects_brawler_edgar.sc",41
"sc/effects_brawler_elprimo.sc",50
"sc/effects_brawler_emz.sc",71
"sc/effects_brawler_fang.sc",107
"sc/effects_brawler_finx.sc",162
"sc/effects_brawler_frank.sc",210
"sc/effects_brawler_gale.sc",141
"sc/effects_brawler_gigi.sc",130
"sc/effects_brawler_glowbert.sc",127
"sc/effects_brawler_gray.sc",93
"sc/effects_brawler_griff.sc",119
"sc/effects_brawler_grom.sc",77
"sc/effects_brawler_gus.sc",151
"sc/effects_brawler_hank.sc",15
"sc/effects_brawler_jacky.sc",21
"sc/effects_brawler_jaeyong.sc",126
"sc/effects_brawler_janet.sc",37
"sc/effects_brawler_jessie.sc",80
"sc/effects_brawler_juju.sc",8
"sc/effects_brawler_kaze.sc",142
"sc/effects_brawler_kenji.sc",89
"sc/effects_brawler_kit.sc",16
"sc/effects_brawler_larrylawrie.sc",82
"sc/effects_brawler_leon.sc",124
"sc/effects_brawler_lily.sc",118
"sc/effects_brawler_lumi.sc",201
"sc/effects_brawler_maisie.sc",32
"sc/effects_brawler_mandy.sc",89
"sc/effects_brawler_max.sc",21
"sc/effects_brawler_meeple.sc",6
"sc/effects_brawler_meg.sc",149
"sc/effects_brawler_melodie.sc",158
"sc/effects_brawler_mico.sc",43
"sc/effects_brawler_mina.sc",357
"sc/effects_brawler_moe.sc",22
"sc/effects_brawler_mortis.sc",79
"sc/effects_brawler_mrp.sc",53
"sc/effects_brawler_najia.sc",67
"sc/effects_brawler_nani.sc",93
"sc/effects_brawler_nita.sc",136
"sc/effects_brawler_ollie.sc",50
"sc/effects_brawler_pam.sc",10
"sc/effects_brawler_pearl.sc",56
"sc/effects_brawler_penny.sc",157
"sc/effects_brawler_pierce.sc",154
"sc/effects_brawler_piper.sc",325
"sc/effects_brawler_poco.sc",95
"sc/effects_brawler_rico.sc",142
"sc/effects_brawler_rt.sc",46
"sc/effects_brawler_ruffs.sc",36
"sc/effects_brawler_sam.sc",59
"sc/effects_brawler_sandy.sc",56
"sc/effects_brawler_shade.sc",159
"sc/effects_brawler_shelly.sc",4
"sc/effects_brawler_sirius.sc",64
"sc/effects_brawler_spike.sc",121
"sc/effects_brawler_sprout.sc",189
"sc/effects_brawler_squeak.sc",23
"sc/effects_brawler_stu.sc",31
"sc/effects_brawler_surge.sc",67
"sc/effects_brawler_tara.sc",116
"sc/effects_brawler_tick.sc",63
"sc/effects_brawler_trunk.sc",323
"sc/effects_brawler_willow.sc",112
"sc/effects_brawler_ziggy.sc",128
"sc/ui.sc",28
